factor,success_metric,n,pearson_corr,pearson_p,spearman_corr,spearman_p,significant,meaningful
kid_friendly,order_volume,21,0.124,0.5922,0.245,0.2849,False,False
kid_friendly,avg_rating,21,-0.085,0.7144,-0.13,0.5744,False,False
kid_friendly,adult_satisfaction,13,-0.047,0.878,-0.508,0.0764,False,False
kid_friendly,kids_happy,13,0.29,0.3363,0.148,0.6302,False,False
kid_friendly,portions_adequate,13,-0.375,0.2074,-0.417,0.1563,False,True
balanced_guilt_free,order_volume,21,0.056,0.8103,0.17,0.4617,False,False
balanced_guilt_free,avg_rating,21,0.224,0.3281,0.162,0.4827,False,False
balanced_guilt_free,adult_satisfaction,13,0.215,0.4809,0.344,0.2503,False,False
balanced_guilt_free,kids_happy,13,0.224,0.4614,0.57,0.042,False,False
balanced_guilt_free,portions_adequate,13,0.149,0.6277,0.183,0.5501,False,False
adult_appeal,order_volume,21,0.301,0.1846,0.318,0.1596,False,True
adult_appeal,avg_rating,21,0.219,0.3399,0.294,0.195,False,False
adult_appeal,adult_satisfaction,13,0.446,0.1262,0.61,0.0269,False,True
adult_appeal,kids_happy,13,0.132,0.6672,-0.067,0.8289,False,False
adult_appeal,portions_adequate,13,-0.118,0.7014,-0.088,0.7753,False,False
fussy_eater_friendly,order_volume,21,0.063,0.7864,0.131,0.5727,False,False
fussy_eater_friendly,avg_rating,21,-0.176,0.4456,-0.215,0.3488,False,False
fussy_eater_friendly,adult_satisfaction,13,-0.089,0.7717,-0.501,0.0815,False,False
fussy_eater_friendly,kids_happy,13,0.236,0.4382,0.147,0.6314,False,False
fussy_eater_friendly,portions_adequate,13,-0.331,0.2686,-0.383,0.1967,False,True
shareability,order_volume,21,0.084,0.7183,0.107,0.6438,False,False
shareability,avg_rating,21,-0.177,0.4432,-0.188,0.4153,False,False
shareability,adult_satisfaction,13,-0.129,0.6737,-0.309,0.3035,False,False
shareability,kids_happy,13,0.001,0.9974,-0.231,0.4467,False,False
shareability,portions_adequate,13,0.082,0.7908,0.077,0.8019,False,False
value_at_25,order_volume,21,0.084,0.7168,0.074,0.7504,False,False
value_at_25,avg_rating,21,-0.302,0.1841,-0.37,0.0992,False,True
value_at_25,adult_satisfaction,13,-0.181,0.5533,-0.232,0.4455,False,False
value_at_25,kids_happy,13,0.115,0.7093,0.386,0.193,False,False
value_at_25,portions_adequate,13,0.028,0.9272,0.077,0.8019,False,False
vegetarian_option,order_volume,21,0.136,0.5563,0.314,0.166,False,False
vegetarian_option,avg_rating,21,0.016,0.9454,-0.096,0.6796,False,False
vegetarian_option,adult_satisfaction,13,-0.153,0.618,-0.538,0.0578,False,False
vegetarian_option,kids_happy,13,0.237,0.4348,0.244,0.4218,False,False
vegetarian_option,portions_adequate,13,0.085,0.7812,0.0,1.0,False,False
